No|Fakultas|Jurusan|Matakuliah
1||none|Share ITS
2|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Teknologi Informasi dan Komunikasi
3|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pemrosesan Sinyal
4|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Mekanika Rekayasa
5|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Sistem Pengukuran dan Kalibrasi (TF091332)
6|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Aljabar Linier
7|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pengolahan Citra Digital
8|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Kalkulus dan Aljabar Linear
9|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Mekanika Teknik Statis Tak Tentu
10|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Prasarana Wilayah dan Kota I
11|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Sistem Informasi Geografis
12|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Sistem Manufaktur
13|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Mekatronika
14|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pengolahan Citra Digital Dalam Fisika
15|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|e-Business & e-Commerce
16|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Bahasa Inggris
17|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Rekayasa Perangkat Lunak
18|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Bisnis Cerdas
19|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Topik dalam Rekayasa Kebutuhan
20|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Fenomena transport
21|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pengantar Teori Ekonomi
22|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Metodologi Penelitian
23|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Kecerdasan Buatan
