No|Matakuliah|Ruang Chating|Percakapan
1|Nama Mata Kuliah|Sosialisasi Share ITS|32
2|ADMINISTRASI KANTOR|Diskusi Pembukuan|8
3|Lupa Pasword 37|chatting disini untuk merubah password|3
4|Pengantar Sistem Informasi - RAV|Chats yuks|3
5|MANAJEMEN USER & MANAJEMEN AKTIVIAS|Tanggapan Manajemen Aktivitas|53
6|Statistika|Tanggapan Manajemen Aktivitas|4
7|Analitic Geometry|Tanggapan tentang efektifitas e-Learning|3
8|Praktikum Dasar Sistem Pengaturan|Ruang Chating|178
9|Praktikum Dasar Sistem Pengaturan|Ruang Chatting|4
10|Praktikum Dasar Sistem Pengaturan|Ruang Chating|5
11|SMT.1 STATISTIKA TERAPAN (KELAS Z)|Contoh Diskusi Sinkron (Chatting)|2
12|Pelatihan Pengembangan Pembelajaran Berbasis Share ITS|Diskusi Sinkron|9
13|RC 090306 - Penggambaran Teknik dg Komputer 1-Kls-Y - Ir. Widjonarko, M.Sc(CS)|Diskusi materi Introduction|3
14|CAID 1 - Bambang Tristiyono. ST.. M.Si.|chat DISINI untuk PB2 : berbagi ilmu & info|8
15|Program Komputer - A|Diskusi Penulisan M-file|8
16|Metode Numerik Kelas X,Y,Z Gasal 2012-2013 - Agung Budipriyanto, Ir. M.Eng., Ph.D|Let's join !|4
17|Ergodesain Interior - Ir. Susy Budi Astuti.MT.|diskusi tentang Contoh Tugas Aspek Umur dan Aktivitas dalam analisa Anthropometri|6
18|Ergodesain Interior - Ir. Susy Budi Astuti.MT.|forum berdiskusi yang berkaitan dengan tugas Functional Body Dimension|1
19|Ergodesain Interior - Ir. Susy Budi Astuti.MT.|tanya jawab seputar tugas yang berkaitan|1
20|PENGANTAR SISTEM INFORMASI (PSI) - Feby Artowodini Muqtadiroh.S.Kom.MT.|Forum Diskusi Business Visit|79
21|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi online : Model Matematika 1|40
22|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Model Matematika 2|7
23|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Model Matematika 3|7
24|Teknik Peramalan - Wiwik Anggraeni.S.Si..M.Kom|PERNAHKAN ANDA MERAMAL ?|6
25|Mikoriza - Kristanti Indah Purwani|Diskusi Forum Praktikum 1|2
26|Mikoriza - Kristanti Indah Purwani|Diskusi Ekofisiologi Mikoriza|2
27|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Pengantar Sistem Pengaturan|156
28|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Error Detektor dan Kontroler|32
29|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Aktuator dan Sensor|15
30|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Karakteristik Sistem Orde 1 dan 2|18
31|Kimia Membran (S2) -Nurul Widiastuti. S.Si.M.Si.. Ph.D.|Pertanyaan tentang Kuliah Membran|464
32|Kimia Membran (S2) -Nurul Widiastuti. S.Si.M.Si.. Ph.D.|CHATTING Untuk Tanya Jawab terkait Contoh Progres|101
33|Kimia Membran (S2) -Nurul Widiastuti. S.Si.M.Si.. Ph.D.|CHATTING|7
34|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Kestabilan Routh|3
35|TE091346 - Dasar Sistem Pengaturan [Nurlita]|Diskusi Online : Kontroler PID|1
36|Operasi Teknik Kimia II - Prof. Dr. Ir. Tri Widjaya,M.Eng.|Macam-macam evaporator dan aksesorinya|2
37|Aplikasi Ergonomi - Arief Rahman. ST.. M.Sc.|Simulasi Kuliah Online|1
38|ILMU UKUR TANAH I KELAS Y (S. KAMILIA AZIZ ST,MT)|feedback materi hari pertama|22
39|Operasi Teknik Kimia II - Prof.Dr.Ir. Tri Widjaja. M.Eng.|Macam-macam evaporator dan aksesorinya|4
40|Sistem Fungsional Bisnis 2 - Sholiq, ST., M.Kom., M.SA|Masih bingung menjalankan permainan One to be Millionaire ?|25
41|Otomasi Industri - Yudha Prasetyawan.ST..M.Eng|Feeder Lini Produksi|2
42|REKAYASA KEBUTUHAN PERANGKAT LUNAK - Bambang Setiawan. S.Kom. MT|Specifying Your Requirement|78
43|Bahasa Inggris (IG091308) - Adi Suryani, SS., M.Ed., Ph.D|"Small chat on ""everyday technology"""|5
44|Karakterisasi Materials - Rindang Fajarin.S.Si..M.Si|Analisa morphology and topography|198
45|KS091325 - Pemantauan dan Evaluasi TI|Chat for IT Scorecard|10
46|Kimia Fisika - TK141334 - 4 SKS (2/1/1)|Diskusi Larutan Non Elektrolit dan Elektrolit|2
47|KS091325 - Pemantauan dan Evaluasi TI|[PETI C] Chat for ISSM|46
48|Metode Numerik Kelas X,Y,Z Gasal 2012-2013 - Agung Budipriyanto, Ir. M.Eng., Ph.D copy 1|Let's join !|6
49|Teknik Analisa Perencanaan I|Pembahasan Latar Belakang Penelitian dan Tinjauan Pustaka|2
50|TE142306 Analisis Sistem Tenaga Lanjut|DISKUSI KULIAH AST LANJUT|7
51|Metode Numerik Kelas X,Y,Z|Let's join !|4
52|Analisis Multivariat|Diskusi online tentang Aljabar Matriks|2
53|Mata Kuliah FASILITATOR copy 1|Contoh Diskusi Sinkron (Chatting)|6
54|Mata Kuliah FASILITATOR copy 1|Diskusi|13
55|Mata Kuliah FASILITATOR copy 1|Pendapat|9
56|Mata Kuliah FASILITATOR copy 1|Diskusi Topik 5|56
57|Dinamika Kapal|Diskusi topik 5|2
58|Komputasi teknik kimia|diskusi|3
59|Kimia Bahan Makanan|Chat SUSU|7
60|Sintesis dan Karakterisasi Senyawa Organik (S2 Pengajaran Kimia)|ANALISIS RETROSINTETIK II-2|4
61|20140825 Sistem Pengendalian Otomatis|Chat 1 - Pengantar Sistem Pengendalian Otomatis|12
62|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 1 - Pengantar Sistem Pengendalian Otomatis|10
63|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 2 - Pengantar Sistem Pengendalian Otomatis|25
64|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 3 - Pemodelan Sistem Dinamik|11
65|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 4 - Pemodelan Sistem Dinamik|7
66|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 6 - Respon Sistem Dinamik|39
67|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 7 - Plot Letak Kedudukan Akar|2
68|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 8 - Respon Frekuensi|2
69|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 9 - Respon Frekuensi|2
70|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chatting - Materi kuliah Minggu 10, Pengendali suhu fluida pada CSTR|5
71|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 11 - Pengendali PID|19
72|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 12 - Perancangan Pengendali PID|12
73|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 13 - Perancangan Pengendali PID|7
74|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 14 - Perancangan Pengendali PID|2
75|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 15 - Analisis Karakteristik Sistem berdasar Persamaan Keadaan|2
76|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Chat 16 - Karakteristik sistem dalam Persamaan Keadaan|2
77|Wawasan Teknologi dan Komunikasi Ilmiah|Chatting Wastek Week 1|10
78|Wawasan Teknologi dan Komunikasi Ilmiah|Chatting Wastek Week 3|48
79|Wawasan Teknologi dan Komunikasi Ilmiah|Chatting Wastek Week 4|5
80|Wawasan Teknologi dan Komunikasi Ilmiah|Chatting Wastek Week 5|6
81|Wawasan Teknologi dan Komunikasi Ilmiah|Chatting Wastek Week 6|4
82|Wawasan Teknologi dan Komunikasi Ilmiah|Chatting Wastek Week 7|3
83|Wawasan Teknologi dan Komunikasi Ilmiah|Chatting Wastek Week 9|6
84|Probabilitas dan Proses Stokastik|Chat1_Probabilitas|202
85|Probabilitas dan Proses Stokastik|Chat4_Variabel Acak Multipel|2
86|Probabilitas dan Proses Stokastik|Chat3_Variabel Acak Kontinyu|7
