No|Fakultas|Jurusan|Kode|Nama Matakuliah
1|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|RE-1471_X|RE-1471 Perancangan dan Integrasi Sistem (Ekstensi)
2|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|KOm Interpersonal|Komunikasi Interpersonal
3|Fakultas Teknologi Industri (FTI)|Teknik Kimia|PPU|Teknologi Pengendalian Polusi
4|Sistem Pembelajaran Daring (SPADA) Indonesia|Backup PDITT|MB091206|MB091206 Metode Kuantitatif Untuk Bisnis - Imam Baihaqi, ST., M.Sc., Ph.D
5|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPLS2|SISTEM PENGUKURAN LANJUT
6|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TETS2|TEKNOLOGI ENERGI TERBARUKAN
7|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TPS2|TEKNOLOGI PENCAHAYAAN
8|Fakultas Vokasi (F Vok.)|Teknik Instrumentasi|PROKOMD3|TT 090321-TEKNIK PEMROGRAMAN KOMPUTER
9|Program Pasca Sarjana (PPS)|Magister Teknik Geomatika|RG-092343|RG-092343 Fotogrametri Modern
10|Program Pasca Sarjana (PPS)|Magister Teknik Geomatika|RG-092328|RG-092328 Sistem Informasi Geografis
11|Hibah Pengembangan Pembelajaran|none|Hibah03_1|TEKNIK PEMROGRAMAN KOMPUTER Pindah ke laman: http://share.its.ac.id/course/view.php?id=484
12|Hibah Pengembangan Pembelajaran|none|MK-Baru|Mata Kuliah (silahkan ganti di edit seting)
13|Hibah Pengembangan Pembelajaran|none|TM 091321|Pengantar Komputer dan TIK
14|Hibah Pengembangan Pembelajaran|none|hibah06|Metode Pemisahan dan Pemurnian
15|Hibah Pengembangan Pembelajaran|none|MB 091203|Matematika Dasar
16|Hibah Pengembangan Pembelajaran|none|IG 091308|Hybrid Language Learning
17|Hibah Pengembangan Pembelajaran|none|SK 092231|Material Penyimpan Energi
18|Hibah Pengembangan Pembelajaran|none|SK 1333 _1|Sintesis Senyawa Anorganik copy 1
19|Hibah Pengembangan Pembelajaran|none|KS 091312|Manajemen Projek Teknologi Informasi
20|Hibah Pengembangan Pembelajaran|none|hibah07_1|Pemetaan Terestris
21|Hibah Pengembangan Pembelajaran|none|hibah11_2|Sistem Fungsional Bisnis 2 (SFB2)
22|Hibah Pengembangan Pembelajaran|none|hibah12_1|KI091307 Keahlian Dasar Informatika
23|Hibah Pengembangan Pembelajaran|none|Hibah01_1|Online Manajemen Resiko IT-O MeRIT - Amna Shifia Nisafani, S.Kom., M.Sc
24|Hibah Pengembangan Pembelajaran|none|RC 090204|Statistik Terapan
25|Hibah Pengembangan Pembelajaran|none|KS 091322|Tata Kelola dan Audit Sistem Informasi
26|Hibah Pengembangan Pembelajaran|none|TI091303|Statistik Industri I
27|Hibah Pengembangan Pembelajaran|none|RC090202|Metode Numerik
28|Hibah Pengembangan Pembelajaran|none|TF091363|SISTEM PENGENDALIAN OTOMATIS
29|Hibah Pengembangan Pembelajaran|none|hibah16_1|Database Management System on The Air
30|Hibah Pengembangan Pembelajaran|none|hibah20_1|Mikoriza
31|Hibah Pengembangan Pembelajaran|none|hibah22_1|Teknologi Beton & Bekisting
32|Hibah Pengembangan Pembelajaran|none|hibah23_1|Dasar Sistem Pengaturan
33|Hibah Pengembangan Pembelajaran|none|hibah23_2|Manajemen Layanan SI/TI (ML SI/TI) - Tony Dwi Susanto. ST..MT. Ph.D.
34|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|MPC|Mata Pelajaran Contoh
35|Fakultas Teknologi Industri (FTI)|Teknik Mesin|ANUM|Analisa Numerik
36|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100 TM1413642014D|TM141364 - MEKATRONIKA D
37|Fakultas Teknologi Industri (FTI)|Teknik Mesin|PENGUTEK|Pengukuran Teknik
38|Fakultas Teknologi Industri (FTI)|Teknik Mesin|SISPO|SISDIN PO
39|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|PSDP|Perencanaan Sumber Daya Perusahaan
40|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|IT Infrastructure|KI092241 - IT Infrastructure
41|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Analysis, Modeling and Design|KI092342 - Analysis, Modeling and Design
42|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Matematika Diskrit|KS091201-Matematika Diskrit
43|Fakultas Teknologi Industri (FTI)|Teknik Mesin|tm091384|Kerja Praktek
44|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Algoritma dan Pemrograman I|KS091202 - Algoritma dan Pemrograman I
45|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Ketrampilan Interpersonal|KS091203 - Ketrampilan Interpersonal
46|Fakultas Teknologi Industri (FTI)|Teknik Mesin|tm091365|Perencanaan Elemen Mesin
47|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kalkulus dan Aljabar Linier|KS091206 - Kalkulus dan Aljabar Linier
48|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pengembangan dan Implementasi Perangkat Lunak|KS091305 - Pengembangan dan Implementasi Perangkat Lunak
49|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Desain dan Manajemen Jaringan|KS091307 - Desain dan Manajemen Jaringan
50|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pengelolaan Hubungan Pelanggan|KS091308 - Pengelolaan Hubungan Pelanggan
51|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Rancang Bangun Perangkat Lunak|KS091313 - Rancang Bangun Perangkat Lunak
52|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Interaksi Manusia dan Komputer|KS091314 - Interaksi Manusia dan Komputer
53|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Sains|KS091315 - Manajemen Sains
54|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Rantai Pasok|KS091316 - Manajemen Rantai Pasok
55|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Bahasa Indonesia|IG091307 - Bahasa Indonesia
56|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Bisnis Cerdas|KS091323 - Bisnis Cerdas
57|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Kualitas|KS091326 - Manajemen Kualitas
58|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|e-Business|KS091333 - e-Business
59|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Integrasi Aplikasi Korporasi|KS091331 - Integrasi Aplikasi Korporasi
60|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Pendukung Keputusan|KS091329 - Sistem Pendukung Keputusan
61|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Operasi|KS091303 - Sistem Operasi
62|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Algoritma dan Pemrograman II|KS091204 - Algoritma dan Pemrograman II
63|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan Strategis SI/TI|KS091320 - Perencanaan Strategis SI/TI
64|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pemantauan dan Evaluasi TI|KS091325 - Pemantauan dan Evaluasi TI
65|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kapita Selekta|KS091335 - Kapita Selekta
66|Hibah Pengembangan Pembelajaran|none|Listening 1|Listening Comprehension Level 1
67|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Enterprise Models|KI092243 - Enterprise Models
68|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Project and Change Management|KI092344 - Project and Change Management
69|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Business and IT Integration|KI092348 - Business and IT Integration
70|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pemodelan dan Simulasi|KI092352 - Pemodelan dan Simulasi
71|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|DSS & EIS|KI092353 - Decision Support Systems and Executive Information Systems
72|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Information Systems Security|KI092355 - Information Systems Security
73|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Information Technology Governance|KI092356 - Information Technology Governance
74|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Fungsional Bisnis|KS091301 - Sistem Fungsional Bisnis I
75|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Basis Data|KS091306 - Manajemen Basis Data
76|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Tata Kelola dan Audit SI/TI|KS091322 - Tata Kelola dan Audit SI/TI
77|Program Pasca Sarjana (PPS)|Magister Teknik Geomatika|RG-092329|RG-092329 Analisa Citra Satelit Pasif
78|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|Pengantar Ilmu Kebumian|Pengantar Ilmu Kebumian
79|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|Geologi Dasar|Geologi Dasar
80|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|Mekanika|Mekanika
