No|Kategori|Matakuliah
1|Mata Kuliah Program Kerjasama|Agama Islam
2|Hibah Pengembangan Tahun 2012|MENGGAMBAR INSTRUMENTASI DAN PERPIPAAN (P&ID) copy 1
3|Hibah Pengembangan Tahun 2012|Statistik Industri
4|Hibah Pengembangan Tahun 2012|Teknologi Informasi dan Komunikasi
5|Hibah Pengembangan Tahun 2012|Algorithma, Pemrograman dan Lab
6|Hibah Pengembangan Tahun 2012|Aljabar Linier
7|Hibah Pengembangan Tahun 2012|Bahasa Inggris
8|Hibah Pengembangan Tahun 2012|Bisnis Cerdas
9|Hibah Pengembangan Tahun 2012|e-Business & e-Commerce
10|Hibah Pengembangan Tahun 2012|E-Learning Riset Desain Interior
11|Hibah Pengembangan Tahun 2012|Fenomena transport
12|Hibah Pengembangan Tahun 2012|Fisika Rekayasa II
13|Hibah Pengembangan Tahun 2012|Inovasi Teknologi dan Pemasaran
14|Hibah Pengembangan Tahun 2012|Kalkulus dan Aljabar Linear
15|Hibah Pengembangan Tahun 2012|Manajemen Proyek
16|Hibah Pengembangan Tahun 2012|Kecerdasan Buatan
17|Hibah Pengembangan Tahun 2012|Matematika Diskrit
18|Hibah Pengembangan Tahun 2012|Matriks
19|Hibah Pengembangan Tahun 2012|Me - Statistics : Mobile and Easy Statistics
20|Hibah Pengembangan Tahun 2012|Mekanika Rekayasa
21|Hibah Pengembangan Tahun 2012|Mekanika Teknik Statis Tak Tentu
22|Hibah Pengembangan Tahun 2012|Mekatronika
23|Hibah Pengembangan Tahun 2012|Mesin Arus Bolak Balik
24|Hibah Pengembangan Tahun 2012|Metode Pengukuran
25|Hibah Pengembangan Tahun 2012|Metodologi Penelitian
26|Hibah Pengembangan Tahun 2012|Pemantauan dan Evaluasi Teknologi Informasi
27|Hibah Pengembangan Tahun 2012|Pemrosesan Sinyal
28|Hibah Pengembangan Tahun 2012|Pengantar Teori Ekonomi
29|Hibah Pengembangan Tahun 2012|Pengolahan Citra Digital
30|Hibah Pengembangan Tahun 2012|Pengolahan Citra Digital Dalam Fisika
31|Hibah Pengembangan Tahun 2012|Pengolahan Multimedia dan Lab
32|Hibah Pengembangan Tahun 2012|Penyelidikan Operasi Menggunakan Strategi Obyek Pembelajaran
33|Hibah Pengembangan Tahun 2012|Perlakuan Panas
34|Hibah Pengembangan Tahun 2012|Persamaan Differensial Biasa
35|Hibah Pengembangan Tahun 2012|Prasarana Wilayah dan Kota I
36|Hibah Pengembangan Tahun 2012|Rangkaian Dijital dan Lab
37|Hibah Pengembangan Tahun 2012|Rekayasa Perangkat Lunak
38|Hibah Pengembangan Tahun 2012|Sistem Pengukuran dan Kalibrasi (TF091332)
39|Hibah Pengembangan Tahun 2012|Struktur Atom dan Molekul
40|Hibah Pengembangan Tahun 2012|Teknik Numerik Sistem Linier
41|Hibah Pengembangan Tahun 2012|Teknologi Mekanik
42|Hibah Pengembangan Tahun 2012|Topik dalam Rekayasa Kebutuhan
43|Pelatihan Sistem E-Learning 5-6 Februari 2013|Metodologi Penelitian
44|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pemetaan Terestris
45|Pelatihan Sistem E-Learning 5-6 Februari 2013|Kependudukan
46|Pelatihan Sistem E-Learning 5-6 Februari 2013|Hidrologi Terapan
47|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pengetahuan Bahan teknik
48|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pengantar Sistem Informasi - RAV
49|Pelatihan Sistem E-Learning 5-6 Februari 2013|Riset Pemasaran
50|Pelatihan Sistem E-Learning 5-6 Februari 2013|Fisika Dasar
51|Hibah Pengembangan Pembelajaran|Mikoriza - Kristanti Indah Purwani
52|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah Kultur Jaringan Tumbuhan
53|Pelatihan Sistem E-Learning 5-6 Februari 2013|Teori Statistika
54|Pelatihan Sistem E-Learning 5-6 Februari 2013|Statistika
55|Pelatihan Sistem E-Learning 5-6 Februari 2013|Proyek Pengembangan Sistem Informasi
56|Pelatihan Sistem E-Learning 5-6 Februari 2013|Biology
57|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 04
58|Pelatihan Sistem E-Learning 5-6 Februari 2013|Analitic Geometry
59|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pengetahuan Kesekretarisan
60|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Pengembangan Pembelajaran Berbasis Share ITS
61|Teknik Sistem Pengaturan|RE141668 Perancangan dan Integrasi Sistem
62|Teknik Elektro|RE-1345 Proses Stokastik
63|Diploma Tiga Teknik Mesin Industri|Teori & Praktek Menggambar Teknik II
64|Fisika|Analisis Data Difraksi (S2) - Gasal 2014/2015
65|Program D3 Teknik Sipil|Mekanika Teknik Tegangan
66|Hibah Pengembangan Pembelajaran|RC 090306 - Penggambaran Teknik dg Komputer 1-Kls-Y - Ir. Widjonarko, M.Sc(CS)
67|Teknik Kimia|Operasi Teknik Kimia III - D
68|Backup PDITT|MB091206 Metode Kuantitatif Untuk Bisnis - Imam Baihaqi, ST., M.Sc., Ph.D
69|Fisika|Elektronika Dasar II
70|SEMESTER IV|TF 141241- MATEMATIKA REKAYASA II (PAK SUYANTO)
71|SEMESTER VI|Teknik Konversi & Konservasi Energi
72|SEMESTER I|Teknologi Informasi dan Komunikasi S1 ( 3 sks / 1)
73|Hibah Pengembangan Pembelajaran|Teknik Pengendalian Kualitas - Dr. Maria Anityasari. ST..ME.
74|Hibah Pengembangan Pembelajaran|REKAYASA KEBUTUHAN PERANGKAT LUNAK - Bambang Setiawan. S.Kom. MT
75|Hibah Pengembangan Pembelajaran|Karakterisasi Materials - Rindang Fajarin.S.Si..M.Si
76|Hibah Pengembangan Pembelajaran|Kimia Analisa - Yeny Rahmawati. ST. MT
77|Hibah Pengembangan Pembelajaran|Otomasi Industri - Yudha Prasetyawan.ST..M.Eng
78|Hibah Pengembangan Pembelajaran|Bising Lingkungan - Ir. Tutug Dhanardono MT
79|Fisika|Fisika Komputasi (Lila Yuwana)
80|SEMESTER II|TF 141222 FSIKA REKAYASA II Kls C (DETAK YP)
81|MATA KULIAH PILIHAN|Kimia Membran (S1)
82|Program D3 Teknik Sipil|Mekanika Teknik Statis Tak Tentu
83|Hibah BOPTN 2013|Workshop SCL berbasis eLearning
84|WORKSHOP Pengembangan Multimedia Pembelajaran|Workshop Multimedia Pembelajaran
85|Hibah BOPTN 2013|Pengembangan Pembelajaran Interaktif berbasis Share ITS Untuk Melaksanakan Pendekatan Terapan dalam Pembelajaran
86|Hibah BOPTN 2013|Peningkatan Keterampilan Dosen dalam Kegiatan Belajar-Mengajar melalui Pembelajaran berbasis Share ITS
87|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Penulisan Buku Diterbitkan
88|Program D3 Teknik Sipil|Ilmu Ukur Tanah II - Yuyun Tajunnisa
89|Teknik Elektro|Mata Pelajaran Contoh
90|Fisika|Intelligent Instrument
91|Bahasa Inggris|Bahasa Inggris copy 1
92|Bahasa Inggris|Bahasa Inggris
93|Pelatihan Sistem E-Learning 5-6 Februari 2013|Contoh Mata Kuliah
94|Semester V|Analisa Numerik
95|Tahun Ajaran 2017/2018|Mekanika Teknik
96|Hibah Pengembangan Pembelajaran|P. Komputer dan Pengantar TIK - Mohammad Khoirul Effendi, ST., M.Sc. Eng
97|Semester V|SISDIN PO
98|Telekomunikasi Multimedia|Sistem Komunikasi Nirkabel
99|Program D3 Teknik Sipil|Teknologi Beton Bekisting Kelas G, H, I - Nur Ahmad Husin
100|Hibah Pengembangan Pembelajaran|Manajemen Resiko TI - Hanim Maria Astuti SKom
101|2017/2018|Analisa Lokasi dan Keruangan
102|Gasal 2013|KS091315 - Manajemen Sains
103|Mata Kuliah untuk Umum|Demo Fitur Share ITS
104|Program Diploma 4 T SIPIL|PEMETAAN 1 KELAS A (S.KAMILA AZIS, ST,MT)
105|2017/2018|TI091320
106|2017/2018|Pemeliharaan dan Teknik Keandalan
107|2017/2018|TF145211 FISIKA TERAPAN B
108|Program Diploma 4 T SIPIL|Penggambaran Teknik dengan Komputer - Klas A
109|Mata Kuliah Pilihan|SISTEM KECERDASAN BUATAN
110|2017/2018|Teknik Informasi dan Komunikasi D3
111|2017/2018|Pengantar Teknik & Sistem Industri
112|2017/2018|Otomasi Industri
113|2017/2018|Menggambar Teknik
114|2017/2018|Engineering Economics (Ekonomi Teknik) - Q
115|2017/2018|Perancangan Fasilitas - B
116|S1 BIOLOGI|SB-1203 Biostatistika
117|Program D3 Teknik Sipil|Praktek Kerja Kayu (terbuka bagi tamu)
118|TPB - Fisika Dasar|Fisika Dasar (TPB-04 dan TPB-35)
119|Pelatihan AA 1-4 Oktober 2013|Materi AA
120|SEMESTER GASAL|SMT.1 Pemetaan I( Moh Khoiri )
121|Praktikum Berbasis Share ITS|Workshop Pembekalan Asisten Laboratorium ITS
122|Teknik Elektro|Matematika Teknik 1 (Kurikulum 2004)
123|PROGRAM STRATA 2 TEKNIK FISIKA (KURIKULUM 2014-2019)|TESIS
124|SEMESTER 5|karakterisasi material
125|Fisika|Instrumentasi dan Pengukuran
126|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Applied Approach UC
127|Telekomunikasi Multimedia|Rekayasa Internet
128|Telekomunikasi Multimedia|Komunikasi Data
129|Telekomunikasi Multimedia|Jaringan Mobile dan Ad-Hoc
130|Telekomunikasi Multimedia|Pra Tugas Akhir
131|Genap 2014|KS091302 - Pengantar Sistem Informasi
132|Genap 2014|KS091303 - Sistem Operasi
133|Genap 2014|KS091324 - Etika Profesi
134|Genap 2014|KS091326 - Manajemen Kualitas TI
135|Backup PDITT|Sistem Pengendalian Otomatis
136|Kimia|SK091323 Metode Pemisahan dan Pemurnian - Dra. Ita Ulfin, M.Si copy 1
137|Teknik Sistem Tenaga|TE142306 Analisis Sistem Tenaga Lanjut
138|Teknik Sistem Pengaturan|Pra Tugas Akhir
139|Telekomunikasi Multimedia|Dasar PSD
140|Bahasa Inggris|TPB-Bahasa Inggris Kelas 10
141|Bahasa Inggris|TPB-Bahasa Inggris Kelas 2
142|SEMESTER II|TF141321 PEMROGRAMAN KOMPUTER C
143|Bahasa Inggris|TPB Bahasa Inggris Kelas 22
