No|Fakultas|Jurusan|Kode|ID|Matakuliah|Aksi
1|Fakultas Ilmu Alam (FIA)|Fisika|SF091215|141|Analisis Data Difraksi 2014-15|setting
2|Fakultas Ilmu Alam (FIA)|Kimia|SK091204|144|SK091204 Kemometrik|setting
3|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|MM091335|151|MM091335 Matematika Rekayasa I|setting
4|Fakultas Teknologi Industri (FTI)|Teknik Fisika|IG-091311|153|IG-091311 Pengantar Technopreneurship|setting
5|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|IG 091307|161|IG 091307 BAHASA INDONESIA|setting
6|Fakultas Teknologi Industri (FTI)|Teknik Industri|Percobaan|162|IE-1402 Percobaan|setting
7|Fakultas Ilmu Alam (FIA)|Fisika|SF2434|168|Analisis Data Difraksi (S2) - Gasal 2014/2015|setting
8|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK091334|171|Kimia Fisika|setting
9|Fakultas Ilmu Alam (FIA)|Fisika|SF091220|201|Elektro Digital - New|setting
10|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|IG-091308|205|IG-091308 BAHASA INGRRIS|setting
11|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|IG091308|209|IG091308 BAHASA INGGRIS|setting
12|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|Bingg_1|211|Bahasa Inggris copy 1|setting
13|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF-091352|212|PEMROSESAN SINYAL (PAK DHANY A)|setting
14|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF185101|214|TF185101 FISIKA TEKNIK LANJUT|setting
15|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kartografi Digital - ABC|222|RG141316 - Kartografi Digital - ABC|setting
16|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|35100RM1845212018B|238|RM184521 - Sistem Informasi Geografis - ABC|setting
17|Fakultas Teknologi Industri (FTI)|Teknik Fisika|BISLING LINGKUNGAN|239|TF 141424 BISING LINGKUNGAN|setting
18|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Tugas Akhir (T. Geomatika)|242|RG141536 - Tugas Akhir|setting
19|Fakultas Teknologi Industri (FTI)|Teknik Fisika|INSTRUMENTASI LANJUT|286|INSTRUMENTASI LANJUT|setting
20|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141211-A|287|Program Komputer - A|setting
21|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141363|291|Operasi Teknik Kimia III - D|setting
22|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kerja Praktek|294|RG141335 - Kerja Praktek|setting
23|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Fotogrametri Dasar - ABC|301|RG141317 - Fotogrametri Dasar - ABC|setting
24|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Statistik|303|RG141313 - Statistika|setting
25|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Teristris Dasar - KHM|304|RG141306 - Pemetaan Teristris Dasar - KHM|setting
26|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Pertambangan - ABC|305|RG141329 - Pemetaan Pertambangan - ABC|setting
27|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF185102|307|TF185102 MATEMATIKA TEKNIK LANJUT|setting
28|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DINAMIKA SISTEM LANJUT|308|DINAMIKA SISTEM LANJUT|setting
29|Fakultas Teknologi Industri (FTI)|Teknik Fisika|ISS2|311|IDENTIFIKASI SISTEM|setting
30|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPTS2|312|SEMINAR PROPOSAL THESIS|setting
31|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TOS2|313|TEKNIK OPTIMASI|setting
32|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KOLS2|314|KONTROL OTOMATIK LANJUT|setting
33|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SKO LANJUT|316|SISTEM KONTROL OTOMATIK LANJUT|setting
34|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FTMS2|317|FISIKA TUBUH MANUSIA|setting
35|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DASAR DASAR CLINICAL ENGINEERING|318|DASAR DASAR CLINICAL ENGINEERING|setting
36|Fakultas Teknologi Industri (FTI)|Teknik Fisika|METPEN & RISET|319|METODOLOGI PENELITIAN DAN RISET ILMIAH - S3|setting
37|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FBMS2|320|FOTONIKA BIOMEDIK|setting
38|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TPMS2|321|TEKNOLOGI PENCITRAAN MEDIS|setting
39|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PENYUSUNAN PROPOSAL S3|323|PENYUSUNAN PROPOSAL S3|setting
40|Fakultas Ilmu Alam (FIA)|Fisika|SF091308|332|Elektronika Dasar II|setting
41|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MATREK2|333|TF 141241- MATEMATIKA REKAYASA II (PAK SUYANTO)|setting
42|Fakultas Teknologi Industri (FTI)|Teknik Fisika|Fuzzy_1|362|TF 141407 Sistem Fuzzy|setting
43|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF101_1|363|Teknik Konversi & Konservasi Energi|setting
44|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF091201|364|Teknologi Informasi dan Komunikasi S1 ( 3 sks / 1)|setting
45|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PROTEKSI RADIASI|365|PROTEKSI RADIASI|setting
46|Fakultas Ilmu Alam (FIA)|Fisika|SF1353|371|Fisika Matematika I (B-Suminar Pratapa) Gasal 2014/2015|setting
47|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI-091309|380|TI-091309 Sistem Manufaktur|setting
48|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|35100RM1849562018_|383|RM184956 - Kadaster 3 Dimensi|setting
49|Fakultas Ilmu Alam (FIA)|Fisika|SF092003 S2|469|Mekanika Statistik (S2) - (Suminar Pratapa, Ph.D)|setting
50|Fakultas Ilmu Alam (FIA)|Fisika|SF092004|471|Metode Riset Fisika 2013/2014 (Suminar Pratapa, Ph.D)|setting
51|Fakultas Ilmu Alam (FIA)|Fisika|Difraksi Material Fungsional|473|Difraksi Serbuk Material Fungsional (S3)|setting
52|Program Pasca Sarjana (PPS)|Magister Teknik Geomatika|RG-092999|474|RG-092999 Tesis|setting
53|Fakultas Ilmu Alam (FIA)|Fisika|SF1407 S1|475|Difraksi Kristal 2 sks - Gasal 2014/2015|setting
54|Fakultas Ilmu Alam (FIA)|Fisika|SF091206|476|Fisika Komputasi (Lila Yuwana)|setting
55|Fakultas Ilmu Alam (FIA)|Kimia|SK091551|478|SK091551 Kemo- dan Bio-Sensor|setting
56|Fakultas Ilmu Alam (FIA)|Kimia|SK091313|479|SK091313 Dinamika Kimia|setting
57|Fakultas Ilmu Alam (FIA)|Kimia|SK091351|480|SK091351 BIOPROSES|setting
58|Fakultas Ilmu Alam (FIA)|Kimia|SK092231|483|SK092231 Material Penyimpan Energi (S2)|setting
59|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091446 - A|485|TI091446 Analisa Keputusan - A|setting
60|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091207|486|TI091207 Analisis dan Estimasi Biaya|setting
61|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091427|487|TI091427 eBusiness dan eCommerce|setting
62|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091311|488|TI091311 Ekonomi Teknik|setting
63|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091438|489|TI091438 Human Reliability|setting
64|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091441A|490|TI091441 Kapita Selekta Teknik Industri - A|setting
65|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091441B|491|TI091441 Kapita Selekta Teknik Industri - B|setting
66|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091409|492|TI091409 Keselamatan & Kesehatan Kerja|setting
67|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091407|493|TI091407 Manajemen Jasa|setting
68|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091449|494|TI091449 Manajemen Keuangan|setting
69|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091318A|495|TI091318 Manajemen Logistik - A|setting
70|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091318|496|TI091318 Manajemen Logistik - B|setting
71|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091318C|497|TI091318 Manajemen Logistik - C|setting
72|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091318D|498|TI091318 Manajemen Logistik - D|setting
73|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091402|499|TI091402 Manajemen Material dan Pengadaan|setting
74|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091211A|500|TI091211 Manajemen Organisasi dan Sumber Daya Manusia - A|setting
75|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI091211B|501|TI091211 Manajemen Organisasi dan Sumber Daya Manusia - B|setting
