No|Fakultas|Jurusan|Kode|Matakuliah|Mahasiswa|Aksi
1|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|PEGUA_1819|Pengendalian Emisi Gas dan Udara Ambien|24|setting
2|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|MarinOptik|RG141453 Marin Optik|8|setting
3|Fakultas Teknologi Industri (FTI)|Teknik Fisika|METPEN C|141361 METODOLOGI PENELITIAN C|38|setting
4|Fakultas Teknologi Industri (FTI)|Teknik Industri|Academic Writing|Academic Writing|1|setting
5|Fakultas Teknologi Industri (FTI)|Teknik Industri|AMS|Advanced Manufacturing Systems|6|setting
6|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI1204|Algoritma dan Pemrogaman Komputer (A)|40|setting
7|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI1204D|Algoritma dan Pemrogaman Komputer (D)|37|setting
8|Fakultas Ilmu Alam (FIA)|Fisika|SF091215|Analisis Data Difraksi 2014-15|28|setting
9|Fakultas Teknologi Industri (FTI)|Teknik Industri|Anprod|Analisis Produktivitas|27|setting
10|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RM185101|Applied Statistics and Probability|16|setting
11|Fakultas Teknologi Industri (FTI)|Teknik Fisika|ARTIFICIAL INTELIGENT|ARTIFICIAL INTELIGENT|70|setting
12|Fakultas Ilmu Alam (FIA)|Kimia|Bioassay|Bioassay|5|setting
13|Fakultas Ilmu Alam (FIA)|Biologi|SB 141301|BIOLOGI UMUM|3|setting
14|Sistem Pembelajaran Daring (SPADA) Indonesia|Backup PDITT|Bising-Daring|Bising Lingkungan|115|setting
15|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|en-reading-blend|Blended Learning for Reading|46|setting
16|Fakultas Teknologi Industri (FTI)|Teknik Industri|CIM2018|Cost and Investment Management 2018|7|setting
17|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DASAR DASAR CLINICAL ENGINEERING|DASAR DASAR CLINICAL ENGINEERING|1|setting
18|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|dasprog-c|Dasar Pemrograman C|37|setting
19|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141301|Dasar Pemrograman E|30|setting
20|Fakultas Ilmu Alam (FIA)|Fisika|SF1407 S1|Difraksi Kristal 2 sks - Gasal 2014/2015|3|setting
21|Fakultas Ilmu Alam (FIA)|Fisika|Difraksi Material Fungsional|Difraksi Serbuk Material Fungsional (S3)|5|setting
22|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DINAMIKA SISTEM LANJUT|DINAMIKA SISTEM LANJUT|69|setting
23|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|KurikulumGeomatika2018-2023|Dokumen Kurikulum Geomatika 2018-2023|6|setting
24|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Ekivalensi Kurikulum|Ekivalensi Kurikulum Teknik Geomatika ITS|32|setting
25|Fakultas Ilmu Alam (FIA)|Fisika|SF091308|Elektronika Dasar II|33|setting
26|Fakultas Teknologi Kelautan (FTK)|Teknik Perkapalan|MN184101|Engineering Drawing|31|setting
27|Fakultas Ilmu Alam (FIA)|Fisika|SF1353|Fisika Matematika I (B-Suminar Pratapa) Gasal 2014/2015|70|setting
28|Fakultas Ilmu Alam (FIA)|Fisika|SF1342|Fisika Statistik|24|setting
29|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Form Progress TA|Form Kemajuan Pelaksanaan Tugas Akhir|76|setting
30|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|proposal TA|Form Pendaftaran Proposal Tugas Akhir|166|setting
31|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Form Seminar TA|Form Pendaftaran Seminar Tugas Akhir|154|setting
32|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Form TA|Form Pendaftaran Sidang Tugas Akhir|144|setting
33|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Data TA - RM184831|Form Permohonan Data TUGAS AKHIR|1|setting
34|Fakultas Ilmu Alam (FIA)|Biologi|SB 141321|GENETIKA|1|setting
35|Fakultas Teknologi Kelautan (FTK)|Teknik Sistem Perkapalan|ME141315|GETARAN SISTEM PERMESINAN|20|setting
36|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141321|Grafika Komputer C|31|setting
37|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141321E|Grafika Komputer E|20|setting
38|Fakultas Teknologi Industri (FTI)|Teknik Fisika|ISS2|IDENTIFIKASI SISTEM|34|setting
39|Fakultas Teknologi Industri (FTI)|Teknik Fisika|IG-091311|IG-091311 Pengantar Technopreneurship|15|setting
40|Fakultas Teknologi Industri (FTI)|Teknik Fisika|INSTRUMENTASI LANJUT|INSTRUMENTASI LANJUT|21|setting
41|Fakultas Teknologi Industri (FTI)|Teknik Industri|IMS|Integrated Manufacturing Systems|1|setting
42|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141326-C|Interaksi Manusia dan Komputer (C)|30|setting
43|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141326-D|Interaksi Manusia dan Komputer (D)|25|setting
44|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Infrastruktur Teknologi dan Sistem Informasi|IS185101 - Infrastruktur Teknologi dan Sistem Informasi|16|setting
45|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pengembangan dan Penerapan Sistem|IS185102 - Pengembangan dan Penerapan Sistem|16|setting
46|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen dan Operasional Sistem Informasi|IS185103 - Manajemen dan Operasional Sistem Informasi|16|setting
